timestamp,state
1782446390.983,"[0.110779,0.410090,0.420000,-179.8400,0.8600,2.2401,1]"
1782446391.213,"[0.110779,0.410090,0.420000,-179.8400,0.8600,2.2401,1]"
1782446391.435,"[0.110779,0.410091,0.419993,-179.8400,0.8600,2.2401,1]"
1782446391.659,"[0.110778,0.410093,0.419970,-179.8404,0.8600,2.2401,1]"
1782446391.885,"[0.110778,0.410099,0.419923,-179.8401,0.8600,2.2401,1]"
1782446392.105,"[0.110777,0.410107,0.419844,-179.8400,0.8600,2.2401,1]"
1782446392.325,"[0.110776,0.410118,0.419724,-179.8397,0.8600,2.2402,1]"
1782446392.548,"[0.110774,0.410141,0.419534,-179.8402,0.8600,2.2402,1]"
1782446392.770,"[0.110773,0.410162,0.419319,-179.8401,0.8600,2.2402,1]"
1782446392.994,"[0.110770,0.410196,0.418994,-179.8400,0.8599,2.2401,1]"
1782446393.217,"[0.110767,0.410234,0.418612,-179.8401,0.8599,2.2401,1]"
1782446393.438,"[0.110764,0.410281,0.418147,-179.8399,0.8599,2.2400,1]"
1782446393.660,"[0.110759,0.410341,0.417536,-179.8400,0.8599,2.2399,1]"
1782446393.882,"[0.110754,0.410401,0.416913,-179.8402,0.8599,2.2398,1]"
1782446394.108,"[0.110746,0.410483,0.416033,-179.8399,0.8599,2.2398,1]"
1782446394.327,"[0.110740,0.410556,0.415230,-179.8398,0.8599,2.2398,1]"
1782446394.550,"[0.110733,0.410639,0.414289,-179.8401,0.8599,2.2398,1]"
1782446394.770,"[0.110725,0.410731,0.413195,-179.8400,0.8598,2.2397,1]"
1782446394.991,"[0.110718,0.410812,0.412192,-179.8397,0.8598,2.2397,1]"
1782446395.214,"[0.110710,0.410905,0.410974,-179.8401,0.8598,2.2396,1]"
1782446395.435,"[0.110703,0.410992,0.409788,-179.8398,0.8598,2.2395,1]"
1782446395.659,"[0.110696,0.411076,0.408565,-179.8397,0.8598,2.2394,1]"
1782446395.883,"[0.110688,0.411161,0.407222,-179.8401,0.8597,2.2394,1]"
1782446396.106,"[0.110682,0.411238,0.405957,-179.8397,0.8597,2.2394,1]"
1782446396.330,"[0.110676,0.411309,0.404671,-179.8397,0.8597,2.2394,1]"
1782446396.553,"[0.110670,0.411379,0.403296,-179.8398,0.8597,2.2393,1]"
1782446396.778,"[0.110664,0.411443,0.401914,-179.8396,0.8597,2.2392,1]"
1782446397.000,"[0.110660,0.411494,0.400717,-179.8398,0.8597,2.2392,1]"
1782446397.224,"[0.110656,0.411542,0.399426,-179.8398,0.8597,2.2392,1]"
1782446397.451,"[0.110652,0.411588,0.398045,-179.8397,0.8597,2.2392,1]"
1782446397.672,"[0.110649,0.411625,0.396751,-179.8397,0.8597,2.2391,1]"
1782446397.898,"[0.110646,0.411660,0.395368,-179.8396,0.8597,2.2391,1]"
1782446398.118,"[0.110644,0.411685,0.394072,-179.8396,0.8597,2.2390,1]"
1782446398.338,"[0.110642,0.411705,0.392779,-179.8400,0.8597,2.2390,1]"
1782446398.559,"[0.110641,0.411720,0.391482,-179.8397,0.8597,2.2390,1]"
1782446398.783,"[0.110640,0.411729,0.390183,-179.8396,0.8597,2.2389,1]"
1782446399.003,"[0.110640,0.411732,0.388794,-179.8397,0.8597,2.2389,1]"
1782446399.225,"[0.110640,0.411730,0.387490,-179.8399,0.8597,2.2389,1]"
1782446399.446,"[0.110641,0.411723,0.386286,-179.8395,0.8598,2.2389,1]"
1782446399.669,"[0.110642,0.411708,0.384891,-179.8399,0.8598,2.2388,1]"
1782446399.890,"[0.110643,0.411690,0.383587,-179.8397,0.8598,2.2388,1]"
1782446400.115,"[0.110646,0.411663,0.382194,-179.8395,0.8598,2.2388,1]"
1782446400.336,"[0.110649,0.411631,0.380886,-179.8399,0.8598,2.2387,1]"
1782446400.563,"[0.110652,0.411596,0.379581,-179.8393,0.8599,2.2387,1]"
1782446400.786,"[0.110655,0.411554,0.378276,-179.8399,0.8599,2.2387,1]"
1782446401.007,"[0.110659,0.411507,0.376970,-179.8394,0.8599,2.2387,1]"
1782446401.231,"[0.110664,0.411450,0.375569,-179.8395,0.8600,2.2387,1]"
1782446401.461,"[0.110670,0.411386,0.374163,-179.8396,0.8600,2.2386,1]"
1782446401.690,"[0.110676,0.411316,0.372764,-179.8393,0.8600,2.2387,1]"
1782446401.911,"[0.110682,0.411244,0.371451,-179.8398,0.8601,2.2386,1]"
1782446402.133,"[0.110689,0.411169,0.370157,-179.8396,0.8601,2.2386,1]"
1782446402.353,"[0.110695,0.411089,0.368872,-179.8396,0.8601,2.2386,1]"
1782446402.575,"[0.110703,0.411005,0.367617,-179.8394,0.8602,2.2386,1]"
1782446402.796,"[0.110710,0.410913,0.366315,-179.8395,0.8602,2.2386,1]"
1782446403.019,"[0.110718,0.410824,0.365140,-179.8399,0.8603,2.2386,1]"
1782446403.245,"[0.110725,0.410743,0.364105,-179.8396,0.8603,2.2386,1]"
1782446403.475,"[0.110734,0.410644,0.362903,-179.8398,0.8604,2.2386,1]"
1782446403.700,"[0.110741,0.410561,0.361934,-179.8397,0.8604,2.2386,1]"
1782446403.937,"[0.110749,0.410472,0.360926,-179.8396,0.8604,2.2385,1]"
