timestamp,state
1782446468.671,"[0.110779,0.410093,0.394972,-179.8395,0.8606,2.2388,1]"
1782446468.896,"[0.110780,0.410093,0.394972,-179.8395,0.8606,2.2387,1]"
1782446469.119,"[0.110780,0.410094,0.394966,-179.8394,0.8606,2.2387,1]"
1782446469.340,"[0.110780,0.410094,0.394941,-179.8400,0.8605,2.2387,1]"
1782446469.563,"[0.110779,0.410098,0.394897,-179.8394,0.8605,2.2387,1]"
1782446469.789,"[0.110779,0.410105,0.394804,-179.8400,0.8605,2.2388,1]"
1782446470.009,"[0.110778,0.410109,0.394681,-179.8389,0.8605,2.2388,1]"
1782446470.232,"[0.110777,0.410123,0.394494,-179.8393,0.8606,2.2388,1]"
1782446470.452,"[0.110775,0.410140,0.394242,-179.8396,0.8606,2.2389,1]"
1782446470.674,"[0.110774,0.410159,0.393919,-179.8395,0.8605,2.2389,1]"
1782446470.895,"[0.110772,0.410184,0.393480,-179.8395,0.8605,2.2388,1]"
1782446471.116,"[0.110770,0.410210,0.393013,-179.8395,0.8605,2.2388,1]"
1782446471.338,"[0.110767,0.410247,0.392360,-179.8395,0.8605,2.2387,1]"
1782446471.562,"[0.110764,0.410285,0.391641,-179.8395,0.8605,2.2386,1]"
1782446471.783,"[0.110761,0.410330,0.390750,-179.8393,0.8605,2.2386,1]"
1782446472.005,"[0.110757,0.410373,0.389824,-179.8394,0.8605,2.2386,1]"
1782446472.228,"[0.110753,0.410414,0.388886,-179.8396,0.8605,2.2386,1]"
1782446472.453,"[0.110749,0.410463,0.387721,-179.8393,0.8604,2.2385,1]"
1782446472.674,"[0.110746,0.410505,0.386571,-179.8394,0.8604,2.2385,1]"
1782446472.896,"[0.110742,0.410547,0.385269,-179.8397,0.8604,2.2385,1]"
1782446473.119,"[0.110739,0.410583,0.384015,-179.8394,0.8604,2.2385,1]"
1782446473.346,"[0.110736,0.410614,0.382716,-179.8396,0.8604,2.2385,1]"
1782446473.566,"[0.110734,0.410642,0.381301,-179.8396,0.8604,2.2385,1]"
1782446473.790,"[0.110732,0.410662,0.379960,-179.8396,0.8603,2.2385,1]"
1782446474.012,"[0.110731,0.410677,0.378612,-179.8395,0.8604,2.2384,1]"
1782446474.239,"[0.110730,0.410686,0.377170,-179.8396,0.8603,2.2384,1]"
1782446474.460,"[0.110730,0.410687,0.375920,-179.8394,0.8603,2.2385,1]"
1782446474.681,"[0.110731,0.410683,0.374476,-179.8395,0.8604,2.2384,1]"
1782446474.906,"[0.110731,0.410674,0.373125,-179.8395,0.8604,2.2384,1]"
1782446475.127,"[0.110733,0.410656,0.371675,-179.8395,0.8604,2.2385,1]"
1782446475.353,"[0.110735,0.410634,0.370340,-179.8394,0.8604,2.2384,1]"
1782446475.574,"[0.110737,0.410607,0.369014,-179.8395,0.8604,2.2384,1]"
1782446475.796,"[0.110740,0.410574,0.367719,-179.8393,0.8604,2.2385,1]"
1782446476.024,"[0.110743,0.410534,0.366378,-179.8393,0.8604,2.2385,1]"
1782446476.247,"[0.110747,0.410493,0.365170,-179.8396,0.8605,2.2385,1]"
1782446476.466,"[0.110750,0.410450,0.364022,-179.8396,0.8605,2.2385,1]"
1782446476.690,"[0.110754,0.410402,0.362873,-179.8395,0.8605,2.2385,1]"
1782446476.910,"[0.110758,0.410358,0.361880,-179.8398,0.8605,2.2385,1]"
1782446477.141,"[0.110762,0.410318,0.361037,-179.8396,0.8605,2.2385,1]"
