timestamp,state
1782446683.266,"[0.110780,0.410094,0.410867,-179.8395,0.8606,2.2388,1]"
1782446683.502,"[0.110780,0.410094,0.410866,-179.8395,0.8606,2.2388,1]"
1782446683.734,"[0.110780,0.410094,0.410860,-179.8394,0.8606,2.2388,1]"
1782446683.960,"[0.110779,0.410096,0.410833,-179.8395,0.8606,2.2388,1]"
1782446684.187,"[0.110779,0.410101,0.410782,-179.8396,0.8605,2.2388,1]"
1782446684.407,"[0.110778,0.410109,0.410688,-179.8395,0.8605,2.2388,1]"
1782446684.630,"[0.110778,0.410118,0.410570,-179.8392,0.8605,2.2388,1]"
1782446684.853,"[0.110776,0.410138,0.410369,-179.8397,0.8606,2.2388,1]"
1782446685.074,"[0.110774,0.410160,0.410120,-179.8397,0.8606,2.2388,1]"
1782446685.298,"[0.110771,0.410190,0.409774,-179.8395,0.8605,2.2388,1]"
1782446685.521,"[0.110769,0.410225,0.409366,-179.8395,0.8605,2.2388,1]"
1782446685.742,"[0.110766,0.410267,0.408866,-179.8395,0.8605,2.2386,1]"
1782446685.965,"[0.110762,0.410319,0.408220,-179.8396,0.8605,2.2386,1]"
1782446686.187,"[0.110757,0.410371,0.407564,-179.8396,0.8605,2.2385,1]"
1782446686.413,"[0.110752,0.410439,0.406700,-179.8394,0.8605,2.2385,1]"
1782446686.634,"[0.110746,0.410505,0.405798,-179.8395,0.8605,2.2385,1]"
1782446686.858,"[0.110740,0.410576,0.404814,-179.8395,0.8604,2.2384,1]"
1782446687.085,"[0.110733,0.410651,0.403683,-179.8396,0.8604,2.2384,1]"
1782446687.311,"[0.110728,0.410723,0.402560,-179.8395,0.8604,2.2383,1]"
1782446687.531,"[0.110721,0.410798,0.401299,-179.8397,0.8603,2.2383,1]"
1782446687.757,"[0.110715,0.410865,0.400076,-179.8396,0.8603,2.2383,1]"
1782446687.977,"[0.110710,0.410930,0.398817,-179.8393,0.8603,2.2383,1]"
1782446688.199,"[0.110704,0.410995,0.397441,-179.8396,0.8603,2.2382,1]"
1782446688.425,"[0.110699,0.411049,0.396139,-179.8396,0.8603,2.2382,1]"
1782446688.646,"[0.110695,0.411098,0.394835,-179.8396,0.8603,2.2382,1]"
1782446688.868,"[0.110691,0.411143,0.393526,-179.8393,0.8603,2.2382,1]"
1782446689.091,"[0.110688,0.411181,0.392200,-179.8397,0.8602,2.2382,1]"
1782446689.310,"[0.110685,0.411216,0.390809,-179.8394,0.8602,2.2382,1]"
1782446689.534,"[0.110683,0.411242,0.389496,-179.8392,0.8602,2.2382,1]"
1782446689.756,"[0.110681,0.411262,0.388184,-179.8396,0.8602,2.2381,1]"
1782446689.978,"[0.110680,0.411277,0.386869,-179.8393,0.8603,2.2381,1]"
1782446690.202,"[0.110679,0.411287,0.385454,-179.8396,0.8602,2.2381,1]"
1782446690.425,"[0.110679,0.411290,0.384143,-179.8393,0.8603,2.2381,1]"
1782446690.647,"[0.110679,0.411288,0.382824,-179.8391,0.8603,2.2381,1]"
1782446690.871,"[0.110680,0.411279,0.381412,-179.8395,0.8603,2.2381,1]"
1782446691.092,"[0.110681,0.411265,0.380188,-179.8393,0.8603,2.2380,1]"
1782446691.313,"[0.110683,0.411244,0.378769,-179.8393,0.8603,2.2381,1]"
1782446691.532,"[0.110685,0.411217,0.377450,-179.8398,0.8603,2.2381,1]"
1782446691.756,"[0.110688,0.411188,0.376224,-179.8394,0.8603,2.2381,1]"
1782446691.987,"[0.110692,0.411146,0.374712,-179.8394,0.8604,2.2381,1]"
1782446692.209,"[0.110695,0.411102,0.373387,-179.8395,0.8604,2.2381,1]"
1782446692.431,"[0.110700,0.411049,0.371969,-179.8395,0.8604,2.2381,1]"
1782446692.652,"[0.110704,0.410994,0.370650,-179.8395,0.8604,2.2381,1]"
1782446692.873,"[0.110709,0.410938,0.369441,-179.8392,0.8605,2.2381,1]"
1782446693.094,"[0.110715,0.410869,0.368069,-179.8396,0.8605,2.2381,1]"
1782446693.315,"[0.110721,0.410802,0.366823,-179.8396,0.8605,2.2381,1]"
1782446693.536,"[0.110727,0.410731,0.365618,-179.8396,0.8605,2.2381,1]"
1782446693.757,"[0.110733,0.410659,0.364472,-179.8395,0.8606,2.2382,1]"
1782446693.987,"[0.110740,0.410583,0.363307,-179.8393,0.8606,2.2381,1]"
1782446694.211,"[0.110746,0.410512,0.362293,-179.8395,0.8606,2.2381,1]"
1782446694.434,"[0.110751,0.410445,0.361367,-179.8394,0.8607,2.2381,1]"
