timestamp,state
1782446599.407,"[0.110779,0.410094,0.433351,-179.8395,0.8606,2.2390,1]"
1782446599.637,"[0.110779,0.410094,0.433350,-179.8396,0.8606,2.2390,1]"
1782446599.858,"[0.110779,0.410094,0.433346,-179.8395,0.8606,2.2390,1]"
1782446600.084,"[0.110779,0.410096,0.433322,-179.8399,0.8605,2.2390,1]"
1782446600.309,"[0.110778,0.410103,0.433282,-179.8396,0.8605,2.2390,1]"
1782446600.539,"[0.110777,0.410113,0.433203,-179.8395,0.8605,2.2390,1]"
1782446600.762,"[0.110777,0.410126,0.433089,-179.8394,0.8605,2.2390,1]"
1782446600.982,"[0.110775,0.410149,0.432923,-179.8398,0.8605,2.2389,1]"
1782446601.202,"[0.110772,0.410177,0.432707,-179.8394,0.8606,2.2389,1]"
1782446601.424,"[0.110769,0.410215,0.432399,-179.8396,0.8605,2.2388,1]"
1782446601.646,"[0.110767,0.410257,0.432067,-179.8395,0.8605,2.2387,1]"
1782446601.867,"[0.110762,0.410316,0.431595,-179.8395,0.8605,2.2386,1]"
1782446602.092,"[0.110757,0.410381,0.431063,-179.8394,0.8605,2.2385,1]"
1782446602.314,"[0.110750,0.410463,0.430384,-179.8393,0.8604,2.2384,1]"
1782446602.534,"[0.110742,0.410549,0.429649,-179.8395,0.8604,2.2384,1]"
1782446602.757,"[0.110735,0.410637,0.428888,-179.8397,0.8604,2.2385,1]"
1782446602.979,"[0.110725,0.410744,0.427927,-179.8396,0.8604,2.2385,1]"
1782446603.201,"[0.110716,0.410850,0.426955,-179.8395,0.8603,2.2384,1]"
1782446603.424,"[0.110706,0.410966,0.425844,-179.8396,0.8603,2.2383,1]"
1782446603.645,"[0.110697,0.411078,0.424748,-179.8395,0.8602,2.2383,1]"
1782446603.866,"[0.110688,0.411180,0.423691,-179.8395,0.8602,2.2383,1]"
1782446604.090,"[0.110678,0.411298,0.422430,-179.8397,0.8601,2.2383,1]"
1782446604.314,"[0.110669,0.411406,0.421220,-179.8397,0.8601,2.2382,1]"
